ICD10Codes,Description
B00,Herpesviral [herpes simplex] infections
B00.0,Eczema herpeticum
B00.1,Herpesviral vesicular dermatitis
B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis
B00.3,Herpesviral meningitis 
B00.4,Herpesviral encephalitis
B00.5,Herpesviral ocular disease
B00.7,Disseminated herpesviral disease
B00.8,Other forms of herpesviral infection
B00.9,"Herpesviral infection, unspecified"
A60,Anogenital herpesviral [herpes simplex] infection
A60.0,Herpesviral infection of genitalia and urogenital tract
A60.1,Herpesviral infection of perianal skin and rectum
A60.9,"Anogenital herpesviral infection, unspecified"
P35.2,Congenital herpesviral [herpes simplex] infection
